From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
5;6;sea;768;-1;-1;-1;-1;stomeste_crossing
77;694;sea;782;-1;-1;-1;-1;azurian_crossing_north
83;701;sea;783;-1;-1;-1;-1;azurian_crossing_south
289;290;sea;801;-1;-1;-1;-1;baronos_crossing
287;288;sea;807;-1;-1;-1;-1;hraam_crossing_west
301;302;sea;1303;-1;-1;-1;-1;witchwoods_crossing1
302;303;sea;1303;-1;-1;-1;-1;witchwoods_crossing2
303;1298;sea;812;-1;-1;-1;-1;witchwoods_crossing3
257;258;sea;913;-1;-1;-1;-1;myrmark-karnaloth
257;255;sea;913;-1;-1;-1;-1;myrmark-gerianarsh
257;259;sea;914;-1;-1;-1;-1;myrmark-myanthiron
262;260;sea;914;-1;-1;-1;-1;meydan-thelisverhal
181;182;sea;962;-1;-1;-1;-1;coltmaere_crossing
47;766;sea;1131;4219;1283;4221;1283;caedan_marsh_crossing
57;643;sea;776;4467;1147;4469;1150;asylais-annuvin
748;749;sea;799;-1;-1;-1;-1;lestria_crossing
177;184;sea;945;3849;1303;3847;1299;auraion_crossing
551;552;sea;1125;-1;-1;-1;-1;wynbog-soltrebog
550;552;sea;1125;-1;-1;-1;-1;marletto-wynbog
550;554;sea;1125;-1;-1;-1;-1;marletto-kierke
553;554;sea;1125;-1;-1;-1;-1;jatswyn-kierke
176;178;sea;945;-1;-1;-1;-1;shilege-selak
301;316;sea;882;-1;-1;-1;-1;kaithrat_crossing
37;767;sea;1122;-1;-1;-1;-1;ilkabuli_crossing
363;364;sea;926;-1;-1;-1;-1;carvay-helparral
363;365;sea;926;-1;-1;-1;-1;carvay-jeolban
363;362;sea;926;-1;-1;-1;-1;carvay-synertudista
318;320;sea;915;-1;-1;-1;-1;verncost_crossing
1028;1123;land;1297;-1;-1;-1;-1;bernsea-syndlor
1123;1124;land;1297;-1;-1;-1;-1;syndlor-vechtor
1124;1127;land;1297;-1;-1;-1;-1;vechtor-HelmianLakes7359
1127;1036;land;1297;-1;-1;-1;-1;HelmianLakes7359-duskwaters
775;1120;land;629;-1;-1;-1;-1;litociBay-vaariede
1121;1101;land;633;-1;-1;-1;-1;mariede-OsteriumSea7333
-1;-1;;-1;-1;-1;-1;-1;-1;
