province;red;green;blue;x;x
1;165;63;0;Éssìkíe;x
2;127;76;76;Jirn;x
3;140;84;84;Yìrs Rokàh;x
4;153;91;91;Serrénes;x
5;165;99;99;Áevìndaron;x
6;127;90;16;Citòmùshòm;x
7;140;99;18;Virrenté;x
8;140;56;0;Vorrìeyn;x
9;114;45;0;Carrolìor;x
10;127;51;0;Anstrà;x
11;116;153;16;Isemémàer;x
12;106;140;14;Vèlzhàr;x
13;96;127;12;Sijílhéy;x
14;126;165;18;Èrsetu;x
15;136;178;19;Màrkoìla;x
16;148;191;21;Wymàlhéy;x
17;229;120;57;Ansolhéy;x
18;216;116;54;Tálin;x
19;191;102;47;Ìzarlìoréx;x
20;175;94;43;Kìnnáezhàr;x
21;229;193;34;Sàlamdad;x
22;242;204;36;Konùshòm;x
23;216;182;32;Nìslewód;x
24;204;172;30;Fáiravòn;x
25;191;161;28;Kàlonia;x
26;127;105;6;Alderén;x
27;89;72;4;Noín Lithrànòr;x
28;102;82;5;Rynór;x
29;114;94;5;Ngozi-Iteru;x
30;76;61;3;Ìzhár'Arràk;x
31;255;25;25;Prísma;x
32;229;22;22;Mount Àpasìril;x
33;242;24;24;Éatherkì;x
34;216;21;21;Shìkoìlad;x
35;102;10;10;Asávélhéy;x
36;114;11;11;Ìzhár'Arràk;x
37;89;8;8;Íl-Kabuli;x
38;127;12;12;Ondvyéra;x
39;105;38;255;Sararis;x
40;98;36;242;Beráe;x
41;92;34;229;Usu'tami;x
42;87;32;216;Sirobháy;x
43;140;108;216;Nikolyy;x
44;147;114;229;Lynna;x
45;155;121;242;Roaw'nòs;x
46;132;102;204;Hiroka'lani;x
47;29;53;193;Akàr'lyy;x
48;32;58;204;Akaroaw;x
49;34;61;216;Fordental;x
50;36;65;229;Aulirád;x
51;38;69;242;Ashtàli;x
52;255;38;226;Shiníe;x
53;242;36;214;Swal'àwz;x
54;229;34;203;Cyél;x
55;216;32;192;Lyàul;x
56;204;30;180;Illirae;x
57;191;28;169;Asylais;x
58;133;242;242;Erekemos;x
59;107;191;191;Snakes' Bend;x
60;126;229;229;Amos;x
61;119;216;216;Carmelior-Gulard;x
62;114;204;204;The Barrel;x
63;71;150;204;Ashei;x
64;66;139;191;Falir-Aufei;x
